intent,segment,url,title,listed_date,listed_time,scrape_datetime,agent_name,agent_id,listing_id,snapshot_path
sale,commercial,https://www.iproperty.com.my/new-property/property/petaling-jaya/plaza-kelana-jaya-boulevard/new-5908/,Plaza @ Kelana Jaya Boulevard,,,2025-10-03 13:03:13,,,,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/shah-alam/3-3-acres-freehold-industrial-land-for-sale-shah-alam-industrial-park/sale-200382035/,Freehold 3.3 acres industrial land for sale at Shah Alam,,,2025-10-03 13:03:13,,,200382035,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/shah-alam/sale-108406851/,"Endlot high visibility and accessibility, 450m walk to future LRT 3",,,2025-10-03 13:03:13,,,108406851,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/tampoi/dewani-detach-factory-near-tampoi-tebrau-1-acres-built-up-20-k-sqft/ol-sale-107154566/,Dewani Detach factory near Tampoi Tebrau for sale,,,2025-10-03 13:03:13,,,107154566,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/new-property/property/kayu-ara/glomac-centro/new-2160/,Glomac Centro,,,2025-10-03 13:03:13,,,,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/petaling-jaya/damansara-utama/ol-sale-200088275/,"4 Storey Shop @ Damansara Uptown , Facing internal square",,,2025-10-03 13:03:13,,,200088275,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/batu-caves/batu-caves-sbc-bolton-batu-caves/sale-105501293/,Limited Corner Lot,,,2025-10-03 13:03:13,,,105501293,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/semenyih/big-detached-factory-warehouse-for-sales-at-semenyih-industrial-park/sale-200371273/,Super Big Detached Factory for Sales at Semenyih with 2000amp Power,,,2025-10-03 13:03:13,,,200371273,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/new-property/property/shah-alam/maya-corporate-office-suites/new-6721/,MAYA Corporate Office Suites,,,2025-10-03 13:03:13,,,,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/klang/ol-sale-200394938/,West Port Warehouse for Sales,,,2025-10-03 13:03:13,,,200394938,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/klang/gateway-16-bandar-bukit-raja/sale-108376742/,"1.5 Storey Semi-Detached Factory Gateway 16 Bandar Bukit Raja, Klang",,,2025-10-03 13:03:13,,,108376742,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/kepong/kepong-business-park-segambut-bahagia/sale-100925995/,Kepong Business Park factory bungalow for Sale,,,2025-10-03 13:03:13,,,100925995,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/petaling-jaya/jalan-gasing-nearby-jalan-kemajuan-jalan-utara-jalan-universiti-jalan-timur-jalan-selangor-ss-2/sale-100947660/,Zoned Limited Commercial bungalow for Sale,,,2025-10-03 13:03:13,,,100947660,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/balakong/balakong/sale-500148878/,Semi D Factory for Sale,,,2025-10-03 13:03:13,,,500148878,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/balakong/balakong-bangi-semi-d-factory/ol-sale-105752331/,Balakong Bangi Semi D Factory,,,2025-10-03 13:03:13,,,105752331,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
